City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
87,sabha,100,LY,1542487169,23,27.03,73.32,12.41,14.43
88,kaeo,44,NZ,1542487170,58,-35.1,66.16,0.56,173.78
89,georgetown,40,GY,1542484800,74,6.8,84.2,16.11,-58.16
90,fairbanks,1,US,1542484680,86,64.84,2.48,5.26,-147.72
91,saint george,90,GR,1542484200,87,39.45,50.0,3.36,22.34
92,butaritari,48,KI,1542487172,100,3.07,84.61,9.73,172.79
93,mana,75,RS,1542484800,74,43.52,35.6,4.7,20.24
94,faya,0,SA,1542484800,47,18.39,59.0,3.36,42.45
95,portland,1,US,1542484380,38,45.52,59.0,23.04,-122.67
96,nalut,92,LY,1542487173,98,31.86,53.47,4.36,10.98
97,tiksi,0,RU,1542487173,72,71.64,-10.66,6.38,128.87
98,geraldton,75,CA,1542484800,60,49.72,10.4,9.17,-86.95
99,tezu,44,IN,1542487174,100,27.93,49.96,1.57,96.16
100,san cristobal,75,EC,1542484800,56,-0.39,68.0,12.75,-78.55
101,margate,75,AU,1542484800,66,-43.03,53.6,5.82,147.26
102,miri,0,NG,1542487175,61,10.31,66.79,3.36,9.75
103,saint-joseph,0,FR,1542484800,40,43.56,55.4,5.82,6.97
104,kodiak,90,US,1542484380,81,39.95,35.96,18.34,-94.76
105,yellowknife,75,CA,1542484800,83,62.45,-5.81,4.7,-114.38
106,karangampel,76,ID,1542487176,100,-6.46,80.11,6.49,108.44
107,katherine,40,AU,1542484800,94,-14.47,71.6,6.93,132.26
108,mortka,36,RU,1542487177,94,59.33,18.55,3.02,66.02
109,ampanihy,0,MG,1542487177,48,-24.69,74.35,6.71,44.75
110,vizinga,92,RU,1542487178,98,61.08,37.14,5.14,50.08
111,barrhead,20,CA,1542487178,75,54.12,27.46,11.18,-114.4
112,ishinomaki,0,JP,1542487178,100,38.42,47.17,10.07,141.3
113,timizart,68,DZ,1542487178,100,36.8,49.74,1.9,4.25
114,beterou,64,BJ,1542487179,49,9.2,83.8,7.27,2.26
115,vardo,1,US,1542485700,55,39.62,46.4,8.05,-77.74
116,port elizabeth,1,US,1542484560,49,39.31,50.0,12.75,-74.98
117,grand-lahou,0,CI,1542487180,84,5.24,79.21,6.15,-5.0
118,makat,56,KZ,1542487180,75,47.65,17.56,4.59,53.35
119,sinnamary,92,GF,1542487180,100,5.38,79.17,9.62,-52.96
120,pangai,0,TO,1542487180,100,-19.8,74.94,5.7,-174.35
121,dicabisagan,100,PH,1542487181,100,17.08,75.75,4.59,122.42
122,ancud,92,CL,1542487181,81,-41.87,54.1,8.05,-73.83
